"COD_MUN","MUNICIPIO","Ano","Populacao","Sexo","Faixa_Etaria","Macro","GRS","RS"
"250010","AGUA BRANCA","2022","","Total","População Total","3ª Macro","11ª GRS - Princesa Isabel","11ª Região de Saúde"
"250010","AGUA BRANCA","2023","","Feminino","30 a 69 anos","3ª Macro","11ª GRS - Princesa Isabel","11ª Região de Saúde"
"250010","AGUA BRANCA","2023","","Masculino","30 a 69 anos","3ª Macro","11ª GRS - Princesa Isabel","11ª Região de Saúde"
"250010","AGUA BRANCA","2023","","Total","30 a 69 anos","3ª Macro","11ª GRS - Princesa Isabel","11ª Região de Saúde"
"250010","AGUA BRANCA","2023","","Total","População Total","3ª Macro","11ª GRS - Princesa Isabel","11ª Região de Saúde"
"250020","AGUIAR","2014","1302","Feminino","30 a 69 anos","3ª Macro","7ª GRS -Piancó","7ª Região de Saúde"
"250020","AGUIAR","2014","1226","Masculino","30 a 69 anos","3ª Macro","7ª GRS -Piancó","7ª Região de Saúde"
"250020","AGUIAR","2014","2528","Total","30 a 69 anos","3ª Macro","7ª GRS -Piancó","7ª Região de Saúde"
"250020","AGUIAR","2014","5686","Total","População Total","3ª Macro","7ª GRS -Piancó","7ª Região de Saúde"
"250020","AGUIAR","2015","1319","Feminino","30 a 69 anos","3ª Macro","7ª GRS -Piancó","7ª Região de Saúde"
"250020","AGUIAR","2015","1247","Masculino","30 a 69 anos","3ª Macro","7ª GRS -Piancó","7ª Região de Saúde"
"250020","AGUIAR","2015","2566","Total","30 a 69 anos","3ª Macro","7ª GRS -Piancó","7ª Região de Saúde"
"250020","AGUIAR","2015","5677","Total","População Total","3ª Macro","7ª GRS -Piancó","7ª Região de Saúde"
"250020","AGUIAR","2016","1336","Feminino","30 a 69 anos","3ª Macro","7ª GRS -Piancó","7ª Região de Saúde"
"250020","AGUIAR","2016","1264","Masculino","30 a 69 anos","3ª Macro","7ª GRS -Piancó","7ª Região de Saúde"
"250020","AGUIAR","2016","2600","Total","30 a 69 anos","3ª Macro","7ª GRS -Piancó","7ª Região de Saúde"
"250020","AGUIAR","2016","5668","Total","População Total","3ª Macro","7ª GRS -Piancó","7ª Região de Saúde"
"250020","AGUIAR","2017","1354","Feminino","30 a 69 anos","3ª Macro","7ª GRS -Piancó","7ª Região de Saúde"
"250020","AGUIAR","2017","1278","Masculino","30 a 69 anos","3ª Macro","7ª GRS -Piancó","7ª Região de Saúde"
"250020","AGUIAR","2017","2632","Total","30 a 69 anos","3ª Macro","7ª GRS -Piancó","7ª Região de Saúde"
"250020","AGUIAR","2017","5658","Total","População Total","3ª Macro","7ª GRS -Piancó","7ª Região de Saúde"
"250020","AGUIAR","2018","1372","Feminino","30 a 69 anos","3ª Macro","7ª GRS -Piancó","7ª Região de Saúde"
"250020","AGUIAR","2018","1292","Masculino","30 a 69 anos","3ª Macro","7ª GRS -Piancó","7ª Região de Saúde"
"250020","AGUIAR","2018","2664","Total","30 a 69 anos","3ª Macro","7ª GRS -Piancó","7ª Região de Saúde"
"250020","AGUIAR","2018","5649","Total","População Total","3ª Macro","7ª GRS -Piancó","7ª Região de Saúde"
"250020","AGUIAR","2019","1389","Feminino","30 a 69 anos","3ª Macro","7ª GRS -Piancó","7ª Região de Saúde"
"250020","AGUIAR","2019","1307","Masculino","30 a 69 anos","3ª Macro","7ª GRS -Piancó","7ª Região de Saúde"
"250020","AGUIAR","2019","2696","Total","30 a 69 anos","3ª Macro","7ª GRS -Piancó","7ª Região de Saúde"
"250020","AGUIAR","2019","5640","Total","População Total","3ª Macro","7ª GRS -Piancó","7ª Região de Saúde"
"250020","AGUIAR","2020","1405","Feminino","30 a 69 anos","3ª Macro","7ª GRS -Piancó","7ª Região de Saúde"
"250020","AGUIAR","2020","1321","Masculino","30 a 69 anos","3ª Macro","7ª GRS -Piancó","7ª Região de Saúde"
"250020","AGUIAR","2020","2726","Total","30 a 69 anos","3ª Macro","7ª GRS -Piancó","7ª Região de Saúde"
"250020","AGUIAR","2020","5630","Total","População Total","3ª Macro","7ª GRS -Piancó","7ª Região de Saúde"
"250020","AGUIAR","2021","1420","Feminino","30 a 69 anos","3ª Macro","7ª GRS -Piancó","7ª Região de Saúde"
"250020","AGUIAR","2021","1340","Masculino","30 a 69 anos","3ª Macro","7ª GRS -Piancó","7ª Região de Saúde"
"250020","AGUIAR","2021","2760","Total","30 a 69 anos","3ª Macro","7ª GRS -Piancó","7ª Região de Saúde"
"250020","AGUIAR","2021","5622","Total","População Total","3ª Macro","7ª GRS -Piancó","7ª Região de Saúde"
"250020","AGUIAR","2022","","Feminino","30 a 69 anos","3ª Macro","7ª GRS -Piancó","7ª Região de Saúde"
"250020","AGUIAR","2022","","Masculino","30 a 69 anos","3ª Macro","7ª GRS -Piancó","7ª Região de Saúde"
"250020","AGUIAR","2022","","Total","30 a 69 anos","3ª Macro","7ª GRS -Piancó","7ª Região de Saúde"
"250020","AGUIAR","2022","","Total","População Total","3ª Macro","7ª GRS -Piancó","7ª Região de Saúde"
"250020","AGUIAR","2023","","Feminino","30 a 69 anos","3ª Macro","7ª GRS -Piancó","7ª Região de Saúde"
"250020","AGUIAR","2023","","Masculino","30 a 69 anos","3ª Macro","7ª GRS -Piancó","7ª Região de Saúde"
"250020","AGUIAR","2023","","Total","30 a 69 anos","3ª Macro","7ª GRS -Piancó","7ª Região de Saúde"
"250020","AGUIAR","2023","","Total","População Total","3ª Macro","7ª GRS -Piancó","7ª Região de Saúde"
"250030","ALAGOA GRANDE","2014","6281","Feminino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250030","ALAGOA GRANDE","2014","5759","Masculino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250030","ALAGOA GRANDE","2014","12040","Total","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250030","ALAGOA GRANDE","2014","28786","Total","População Total","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250030","ALAGOA GRANDE","2015","6363","Feminino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250030","ALAGOA GRANDE","2015","5847","Masculino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250030","ALAGOA GRANDE","2015","12210","Total","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250030","ALAGOA GRANDE","2015","28727","Total","População Total","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250030","ALAGOA GRANDE","2016","6450","Feminino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250030","ALAGOA GRANDE","2016","5931","Masculino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250030","ALAGOA GRANDE","2016","12381","Total","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250030","ALAGOA GRANDE","2016","28670","Total","População Total","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250030","ALAGOA GRANDE","2017","6532","Feminino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250030","ALAGOA GRANDE","2017","6012","Masculino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250030","ALAGOA GRANDE","2017","12544","Total","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250030","ALAGOA GRANDE","2017","28614","Total","População Total","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250030","ALAGOA GRANDE","2018","6608","Feminino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250030","ALAGOA GRANDE","2018","6086","Masculino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250030","ALAGOA GRANDE","2018","12694","Total","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250030","ALAGOA GRANDE","2018","28555","Total","População Total","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250030","ALAGOA GRANDE","2019","6685","Feminino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250030","ALAGOA GRANDE","2019","6161","Masculino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250030","ALAGOA GRANDE","2019","12846","Total","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250030","ALAGOA GRANDE","2019","28496","Total","População Total","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250030","ALAGOA GRANDE","2020","6759","Feminino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250030","ALAGOA GRANDE","2020","6235","Masculino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250030","ALAGOA GRANDE","2020","12994","Total","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250030","ALAGOA GRANDE","2020","28439","Total","População Total","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250030","ALAGOA GRANDE","2021","6880","Feminino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250030","ALAGOA GRANDE","2021","6331","Masculino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250030","ALAGOA GRANDE","2021","13211","Total","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250030","ALAGOA GRANDE","2021","28384","Total","População Total","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250030","ALAGOA GRANDE","2022","","Feminino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250030","ALAGOA GRANDE","2022","","Masculino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250030","ALAGOA GRANDE","2022","","Total","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250030","ALAGOA GRANDE","2022","","Total","População Total","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250030","ALAGOA GRANDE","2023","","Feminino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250030","ALAGOA GRANDE","2023","","Masculino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250030","ALAGOA GRANDE","2023","","Total","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250030","ALAGOA GRANDE","2023","","Total","População Total","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250040","ALAGOA NOVA","2014","4380","Feminino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250040","ALAGOA NOVA","2014","4072","Masculino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250040","ALAGOA NOVA","2014","8452","Total","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250040","ALAGOA NOVA","2014","20482","Total","População Total","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250040","ALAGOA NOVA","2015","4469","Feminino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250040","ALAGOA NOVA","2015","4160","Masculino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250040","ALAGOA NOVA","2015","8629","Total","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250040","ALAGOA NOVA","2015","20558","Total","População Total","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250040","ALAGOA NOVA","2016","4563","Feminino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250040","ALAGOA NOVA","2016","4244","Masculino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250040","ALAGOA NOVA","2016","8807","Total","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250040","ALAGOA NOVA","2016","20630","Total","População Total","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250040","ALAGOA NOVA","2017","4654","Feminino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250040","ALAGOA NOVA","2017","4325","Masculino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250040","ALAGOA NOVA","2017","8979","Total","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250040","ALAGOA NOVA","2017","20700","Total","População Total","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250040","ALAGOA NOVA","2018","4745","Feminino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250040","ALAGOA NOVA","2018","4404","Masculino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250040","ALAGOA NOVA","2018","9149","Total","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250040","ALAGOA NOVA","2018","20776","Total","População Total","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250040","ALAGOA NOVA","2019","4828","Feminino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250040","ALAGOA NOVA","2019","4481","Masculino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250040","ALAGOA NOVA","2019","9309","Total","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250040","ALAGOA NOVA","2019","20849","Total","População Total","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250040","ALAGOA NOVA","2020","4913","Feminino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250040","ALAGOA NOVA","2020","4557","Masculino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250040","ALAGOA NOVA","2020","9470","Total","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250040","ALAGOA NOVA","2020","20921","Total","População Total","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250040","ALAGOA NOVA","2021","5009","Feminino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250040","ALAGOA NOVA","2021","4638","Masculino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250040","ALAGOA NOVA","2021","9647","Total","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250040","ALAGOA NOVA","2021","20992","Total","População Total","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250040","ALAGOA NOVA","2022","","Feminino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250040","ALAGOA NOVA","2022","","Masculino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250040","ALAGOA NOVA","2022","","Total","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250040","ALAGOA NOVA","2022","","Total","População Total","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250040","ALAGOA NOVA","2023","","Feminino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250040","ALAGOA NOVA","2023","","Masculino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250040","ALAGOA NOVA","2023","","Total","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250040","ALAGOA NOVA","2023","","Total","População Total","2ª Macro","3 ª GRS - Campina Grande","3ª Região de Saúde"
"250050","ALAGOINHA","2014","2958","Feminino","30 a 69 anos","1ª Macro","2ª GRS - Guarabira","2ª Região de Saúde"
"250050","ALAGOINHA","2014","2660","Masculino","30 a 69 anos","1ª Macro","2ª GRS - Guarabira","2ª Região de Saúde"
"250050","ALAGOINHA","2014","5618","Total","30 a 69 anos","1ª Macro","2ª GRS - Guarabira","2ª Região de Saúde"
"250050","ALAGOINHA","2014","14127","Total","População Total","1ª Macro","2ª GRS - Guarabira","2ª Região de Saúde"
"250050","ALAGOINHA","2015","3017","Feminino","30 a 69 anos","1ª Macro","2ª GRS - Guarabira","2ª Região de Saúde"
"250050","ALAGOINHA","2015","2714","Masculino","30 a 69 anos","1ª Macro","2ª GRS - Guarabira","2ª Região de Saúde"
"250050","ALAGOINHA","2015","5731","Total","30 a 69 anos","1ª Macro","2ª GRS - Guarabira","2ª Região de Saúde"
"250050","ALAGOINHA","2015","14202","Total","População Total","1ª Macro","2ª GRS - Guarabira","2ª Região de Saúde"
"250050","ALAGOINHA","2016","3084","Feminino","30 a 69 anos","1ª Macro","2ª GRS - Guarabira","2ª Região de Saúde"
"250050","ALAGOINHA","2016","2774","Masculino","30 a 69 anos","1ª Macro","2ª GRS - Guarabira","2ª Região de Saúde"
"250050","ALAGOINHA","2016","5858","Total","30 a 69 anos","1ª Macro","2ª GRS - Guarabira","2ª Região de Saúde"
"250050","ALAGOINHA","2016","14273","Total","População Total","1ª Macro","2ª GRS - Guarabira","2ª Região de Saúde"
"250050","ALAGOINHA","2017","3147","Feminino","30 a 69 anos","1ª Macro","2ª GRS - Guarabira","2ª Região de Saúde"
"250050","ALAGOINHA","2017","2831","Masculino","30 a 69 anos","1ª Macro","2ª GRS - Guarabira","2ª Região de Saúde"
"250050","ALAGOINHA","2017","5978","Total","30 a 69 anos","1ª Macro","2ª GRS - Guarabira","2ª Região de Saúde"
"250050","ALAGOINHA","2017","14343","Total","População Total","1ª Macro","2ª GRS - Guarabira","2ª Região de Saúde"
"250050","ALAGOINHA","2018","3209","Feminino","30 a 69 anos","1ª Macro","2ª GRS - Guarabira","2ª Região de Saúde"
"250050","ALAGOINHA","2018","2887","Masculino","30 a 69 anos","1ª Macro","2ª GRS - Guarabira","2ª Região de Saúde"
"250050","ALAGOINHA","2018","6096","Total","30 a 69 anos","1ª Macro","2ª GRS - Guarabira","2ª Região de Saúde"
"250050","ALAGOINHA","2018","14418","Total","População Total","1ª Macro","2ª GRS - Guarabira","2ª Região de Saúde"
"250050","ALAGOINHA","2019","3272","Feminino","30 a 69 anos","1ª Macro","2ª GRS - Guarabira","2ª Região de Saúde"
"250050","ALAGOINHA","2019","2942","Masculino","30 a 69 anos","1ª Macro","2ª GRS - Guarabira","2ª Região de Saúde"
"250050","ALAGOINHA","2019","6214","Total","30 a 69 anos","1ª Macro","2ª GRS - Guarabira","2ª Região de Saúde"
"250050","ALAGOINHA","2019","14489","Total","População Total","1ª Macro","2ª GRS - Guarabira","2ª Região de Saúde"
"250050","ALAGOINHA","2020","3332","Feminino","30 a 69 anos","1ª Macro","2ª GRS - Guarabira","2ª Região de Saúde"
"250050","ALAGOINHA","2020","2996","Masculino","30 a 69 anos","1ª Macro","2ª GRS - Guarabira","2ª Região de Saúde"
"250050","ALAGOINHA","2020","6328","Total","30 a 69 anos","1ª Macro","2ª GRS - Guarabira","2ª Região de Saúde"
"250050","ALAGOINHA","2020","14560","Total","População Total","1ª Macro","2ª GRS - Guarabira","2ª Região de Saúde"
"250050","ALAGOINHA","2021","3419","Feminino","30 a 69 anos","1ª Macro","2ª GRS - Guarabira","2ª Região de Saúde"
"250050","ALAGOINHA","2021","3059","Masculino","30 a 69 anos","1ª Macro","2ª GRS - Guarabira","2ª Região de Saúde"
"250050","ALAGOINHA","2021","6478","Total","30 a 69 anos","1ª Macro","2ª GRS - Guarabira","2ª Região de Saúde"
"250050","ALAGOINHA","2021","14629","Total","População Total","1ª Macro","2ª GRS - Guarabira","2ª Região de Saúde"
"250050","ALAGOINHA","2022","3244","Feminino","30 a 69 anos","1ª Macro","2ª GRS - Guarabira","2ª Região de Saúde"
"250050","ALAGOINHA","2022","3054","Masculino","30 a 69 anos","1ª Macro","2ª GRS - Guarabira","2ª Região de Saúde"
"250050","ALAGOINHA","2022","6298","Total","30 a 69 anos","1ª Macro","2ª GRS - Guarabira","2ª Região de Saúde"
"250050","ALAGOINHA","2022","13725","Total","População Total","1ª Macro","2ª GRS - Guarabira","2ª Região de Saúde"
"250050","ALAGOINHA","2023","3244","Feminino","30 a 69 anos","1ª Macro","2ª GRS - Guarabira","2ª Região de Saúde"
"250050","ALAGOINHA","2023","3054","Masculino","30 a 69 anos","1ª Macro","2ª GRS - Guarabira","2ª Região de Saúde"
"250050","ALAGOINHA","2023","6298","Total","30 a 69 anos","1ª Macro","2ª GRS - Guarabira","2ª Região de Saúde"
"250050","ALAGOINHA","2023","13725","Total","População Total","1ª Macro","2ª GRS - Guarabira","2ª Região de Saúde"
"250053","ALCANTIL","2014","1180","Feminino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","15ª Região de Saúde"
"250053","ALCANTIL","2014","1116","Masculino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","15ª Região de Saúde"
"250053","ALCANTIL","2014","2296","Total","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","15ª Região de Saúde"
"250053","ALCANTIL","2014","5400","Total","População Total","2ª Macro","3 ª GRS - Campina Grande","15ª Região de Saúde"
"250053","ALCANTIL","2015","1201","Feminino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","15ª Região de Saúde"
"250053","ALCANTIL","2015","1137","Masculino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","15ª Região de Saúde"
"250053","ALCANTIL","2015","2338","Total","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","15ª Região de Saúde"
"250053","ALCANTIL","2015","5419","Total","População Total","2ª Macro","3 ª GRS - Campina Grande","15ª Região de Saúde"
"250053","ALCANTIL","2016","1226","Feminino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","15ª Região de Saúde"
"250053","ALCANTIL","2016","1160","Masculino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","15ª Região de Saúde"
"250053","ALCANTIL","2016","2386","Total","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","15ª Região de Saúde"
"250053","ALCANTIL","2016","5437","Total","População Total","2ª Macro","3 ª GRS - Campina Grande","15ª Região de Saúde"
"250053","ALCANTIL","2017","1254","Feminino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","15ª Região de Saúde"
"250053","ALCANTIL","2017","1182","Masculino","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","15ª Região de Saúde"
"250053","ALCANTIL","2017","2436","Total","30 a 69 anos","2ª Macro","3 ª GRS - Campina Grande","15ª Região de Saúde"
